PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00Lo9,5k2/8/4p3/3p2p1/p1pQ2P1/P1P2q2/1PB5/7K w - - 0 42,h1h2 f3e2 h2g3 e2c2,1414,237,100,9,endgame fork,https://lichess.org/oAKhM88Y#83,
00NAM,r5k1/pp3ppp/8/3p4/3P4/4R2P/q1P1QPPK/8 b - - 1 21,a2c4 e3e8 a8e8 e2e8,691,79,100,190,endgame mate,https://lichess.org/be70QtoL/black#42,
00NHK,r1b2rk1/1p2b1p1/pqn1p1P1/3pP3/1P1P4/P1N1P3/6P1/R2QK2R b KQ - 0 17,c6e5 h1h8 g8h8 d1h5 h8g8 h5h7,1751,75,100,84,fork mate,https://lichess.org/YWzSZGeb/black#34,French_Defense French_Defense_Advance_Variation
00OPi,5k2/5p1p/1p1P2p1/1B6/5P2/1P3KP1/n6P/8 w - - 0 38,f3e4 a2c3 e4d4 c3b5,790,77,100,151,endgame fork,https://lichess.org/4K29qsm1#75,
00Oft,3r4/p1pk1p1p/2pp1qr1/2b5/Q3P1b1/5NB1/P2N1PPP/R4RK1 w - - 2 16,g3h4 g4f3 d2f3 f6f3,1490,184,100,33,pin,https://lichess.org/SpSdvvVa#31,
00PHg,R7/P4p2/5k1p/q5n1/5R2/7P/5PK1/8 b - - 2 46,f6e5 a8e8 e5f4 a7a8q a5a8 e8a8,1461,75,100,582,endgame,https://lichess.org/u5o6sm6r/black#92,
00Pw1,5r1k/2p3Rp/3p4/p2Pn3/1p2B3/1P6/PKP2r1P/6R1 b - - 1 28,f2e2 g7h7,1120,75,100,350,endgame mate,https://lichess.org/WAkWH6IK/black#56,
00Qnn,r1bqkb1r/ppp1n1p1/7p/3Pp1N1/2P5/8/PP3PPP/RNBQK2R w KQkq - 0 11,d1h5 g7g6 h5e2 h6g5,1476,222,100,10,defensiveMove,https://lichess.org/bvZx0hh4#21,
00Qpu,3r1b1r/2pn4/1p1p3p/2kP2qn/Q3Pp2/4Bp2/1P4PP/4R1K1 b - - 3 26,f4e3 e1c1,1290,187,100,13,mate,https://lichess.org/GLsIyi7p/black#52,
00R2A,2kr1b1R/p5p1/8/3P1p2/8/4B3/PPPK1P2/8 w - - 1 25,c2c4 f8b4 d2d3 d8h8,735,75,100,1089,discoveredAttack endgame,https://lichess.org/ZjzT3REI#49,
00RXz,1k1r4/pp1b4/2pq1p1p/6p1/8/1Q4P1/PP3PBP/3R2K1 b - - 0 27,d6e6 b3e6 d7e6 d1d8,1226,75,100,123,endgame,https://lichess.org/KgK5s7Qu/black#54,
00SsI,6R1/p4p1p/2p1pp1k/8/2N5/4b1R1/4K1PP/2q5 b - - 1 29,e3g5 g3h3 g5h4 h3h4,1042,75,100,366,endgame,https://lichess.org/WfTPI1ZC/black#58,
00UV8,3r4/7p/p3nkp1/1b6/4P2P/1B2B3/P4KP1/8 b - - 1 38,e6d4 e3g5 f6e5 g5d8,1471,286,100,8,endgame,https://lichess.org/xzJR462D/black#76,
00V59,rnb2rk1/5ppp/p2q4/1p1P4/2p3n1/2N2N2/PP2BPPP/R2Q1RK1 w - - 0 14,f3d4 d6h2,559,80,100,106,kingsideAttack mate,https://lichess.org/EaO3DqDl#27,Indian_Defense Indian_Defense_Anti-Nimzo-Indian
00XCT,6Q1/7K/2k5/3r4/8/8/8/8 w - - 5 82,h7h8 d5h5 g8h7 h5h7,1045,81,100,238,endgame,https://lichess.org/I94rnuWS#163,
00YMX,r5k1/1p2pp2/p2p3B/3P1P2/2P1P3/3p3Q/Pq6/R4K2 w - - 0 29,h3g4 g8h7 a1e1 h7h6,1608,209,100,11,defensiveMove endgame,https://lichess.org/78vTggqs#57,
00YqR,5k2/p1p4p/1pPpBp2/2qP3b/8/2PQ4/P6P/7K w - - 0 33,d3h7 h5f3,897,78,100,277,endgame mate,https://lichess.org/5b6k1W51#65,
00ZN7,3q2k1/8/Q2p2p1/3P1p1p/1p2P1nP/1Pp5/2P3P1/5R1K w - - 0 36,e4f5 d8h4 h1g1 h4h2,916,79,100,559,endgame mate,https://lichess.org/U0LXbVT4#71,
00aZP,r1b1k2r/p1p2ppp/1pN2n2/2n1b3/2B1P3/P1N5/1PP2PPP/R1BR2K1 b kq - 0 13,e5c3 d1d8,578,88,100,189,mate,https://lichess.org/7lR4XDLK/black#26,Italian_Game Italian_Game_Other_variations
00bFH,4r1k1/1q3ppp/3B1n2/p2P4/8/Pp3Q1P/5PPN/1R4K1 w - - 0 27,f3b3 e8e1 b1e1 b7b3,1602,168,100,27,deflection,https://lichess.org/E8lzVecv#53,
00bSy,1kr1r3/1pp4p/p2b2p1/3N1p2/P7/3P1Q1P/2R2PP1/2R1q1K1 w - - 7 27,c1e1 e8e1,496,86,100,289,kingsideAttack mate,https://lichess.org/s7Pa0Pux#53,
00cy1,2rknb2/3q1pp1/p1pP3r/1pQ1P2p/5P2/1P4P1/PB4K1/3R4 b - - 0 27,h5h4 c5b6 e8c7 d6c7,1165,76,100,167,pin,https://lichess.org/TsSnBR0S/black#54,
00ems,2r1r1k1/1bpn1ppp/p4n2/1p6/1P4q1/P3PN2/1BB1QPPP/3R1RK1 w - - 6 18,f3d4 g4g2,994,76,100,889,kingsideAttack mate,https://lichess.org/mQNb8OeH#35,Horwitz_Defense Horwitz_Defense_Other_variations
00gbj,8/8/8/3k2K1/6nP/6P1/8/8 b - - 4 57,g4e5 g5f5 e5c4 h4h5 c4d6 f5g6,2528,80,100,97,defensiveMove endgame quietMove,https://lichess.org/TwMT1En7/black#114,
00ghH,5r1k/6p1/1Q2pq1p/P4r2/3P4/2P1R3/6PP/4R1K1 w - - 1 39,d4d5 f5f1 e1f1 f6f1,554,87,100,671,endgame mate,https://lichess.org/ycQ7nVZM#77,
00iXO,r6r/pp2kB2/1bpR1p2/4p1p1/6b1/1QP3p1/PP3PP1/4R1K1 w - - 2 23,d6d2 b6f2 d2f2 h8h1 g1h1 g3f2,2579,106,100,49,fork,https://lichess.org/asLbpMTy#45,
00jOm,1r6/3Pkppp/4p3/3p4/8/8/P4PPP/2R3K1 w - - 0 29,c1c8 b8b1 c8c1 b1c1,971,77,100,84,endgame mate,https://lichess.org/AptD0dS5#57,
00jQ7,8/7p/1p3Qpk/1Pp5/2Pp4/5PP1/2q3KP/8 w - - 1 41,g2h3 c2f5 f6f5 g6f5,988,80,100,60,endgame,https://lichess.org/B5l9Wp7O#81,
00lMW,2r4k/p4qpp/1p2R3/2p3Q1/8/7P/PB3PP1/6K1 b - - 0 29,f7e6 g5g7,754,96,100,43,endgame mate,https://lichess.org/nd9PhkFp/black#58,
00lPy,r7/3R1pkp/2p1p1p1/3bB3/1r6/2R4P/5PP1/6K1 b - - 1 24,g7f8 e5d6 f8g7 d6b4 a8a1 g1h2,1290,96,100,73,endgame fork,https://lichess.org/yjElTdKc/black#48,
00noA,8/1b4p1/p3p1Pr/1p1p4/3N4/2PB4/PP3k1r/1K3R2 b - - 20 41,f2e3 f1f3 e3d2 d4b3 d2e1 f3f1,1381,75,100,486,endgame mate,https://lichess.org/wzqiWq1O/black#82,
00oYS,4K3/4P1k1/8/8/8/8/2p1R3/2r5 w - - 10 59,e8d7 c1d1 d7e6 c2c1q,1133,225,100,20,endgame,https://lichess.org/poyLvn1d#117,
00ouE,2r5/2r3k1/1p2pp1p/p2pQ1p1/3P4/4P1P1/PPq2P1R/KR6 w - - 0 30,e5e6 c2b1 a1b1 c7c1,1328,76,100,436,endgame mate,https://lichess.org/ZjaFn424#59,
00pHb,r5rk/4qp1p/p4N1Q/1p2p3/3pP3/1P1P3P/1PP3P1/5RK1 b - - 2 23,g8g6 h6h7,817,78,100,451,endgame kingsideAttack mate,https://lichess.org/Iot7eUOB/black#46,
00pYK,2r3k1/1p2n1p1/p2b2r1/3q1pPQ/3Pp1P1/1P2B2R/P6P/5RK1 b - - 0 22,c8f8 h5h7 g8f7 g4f5 f7e8 f5g6 f8f1 g1f1,1728,168,100,15,kingsideAttack,https://lichess.org/1B6oNZCt/black#44,
00pdW,4Q3/6pk/p7/4Pq1p/2r2P2/P5P1/1P5P/5RK1 w - - 2 36,e5e6 f5c5 f1f2 c4c2 e8h5 c5h5,2267,76,100,95,endgame,https://lichess.org/EgxR1ng4#71,
00tB9,1k1r3r/1bq1b1p1/p2p4/2nBp1P1/4P3/4BP2/1PPQN3/2KR3R w - - 3 24,d5b7 c5b3 c1b1 b3d2,1337,75,100,191,pin,https://lichess.org/I1QFfgyS#47,
00xDa,q7/3kbpp1/4p3/1p1pP3/2pPb1P1/1PP1B3/1Q3P1r/R5K1 w - - 0 28,a1a8 h2h1,1161,75,100,517,endgame mate,https://lichess.org/trNxydY0#55,
